;used_liter;image;cadran_1;cadran_2;cadran_3;cadran_4
0;33;e104664ba1792dde641d87cd5d95f1df06786140.jpg;X;X;3;3
1;29;48990b5cbe173868040bd33f06fb1b80c2b4f28a.jpg;X;X;2;9
2;230;9e111802446b62b86aeffe911415ad28227caba7.jpg;X;2;3;0
3;43;f78fe5a461f28bc770a7dd856878bb4a314a9027.jpg;X;X;4;3
4;51;62e96bf40409b3b6fd74065ab0bf3ec44f9d0a61.jpg;X;X;5;1
5;238;c836ea17748e562c99f93edc51f2b900664ec37d.jpg;X;2;3;8
6;227;5232b54dc19f64026dde07b3d3f3b7b868162352.jpg;X;2;2;7
7;211;ad09efeb3fb287283c6674797b9214313d12b5f1.jpg;X;2;1;1
8;51;87e827d58b36c7921568b270eae938e677c97207.jpg;X;X;5;1
9;29;fdddffcd1423ea0366eb81802ce1351bccf6dcaa.jpg;X;X;2;9
10;66;bdbf41a1d93043386f690c2ab077b1bff5bc023f.jpg;X;X;6;6
11;81;2b6481132ed176928dfeefd11f7b10b56b49d517.jpg;X;X;8;1
12;202;fbd02b4f1eac089a9af1a9e0a24e888e3226d6bc.jpg;X;2;0;2
13;38;caf2e1f69e943deb7a05a4b1f08de37651b9498b.jpg;X;X;3;8
14;228;7f6c0991090642ce15ee5b79019157f104dcf99d.jpg;X;2;2;8
15;187;f9b1f447c64e60597eef190ab328460c77a17bd0.jpg;X;1;8;7
16;231;2c07716d1d18e0d407cb113745689d5f9d45f307.jpg;X;2;3;1
17;35;afc914e1bdf29f16b78de8afd3dd3739a55dc914.jpg;X;X;3;5
18;75;ffd083a696ac010ca5a9a3cbecdb28a57a167732.jpg;X;X;7;5
19;218;cd4d249fd27369f927124e67151b8d97e4bdfdd4.jpg;X;2;1;8
20;59;77aaf9400e8e44b728951ab5604e2eaa6a864dd1.jpg;X;X;5;9
21;183;aee88596159ace71523271065199866d5ed89dad.jpg;X;1;8;3
22;44;c56c79a6eb6df9942c4922b5112e7855d79b4867.jpg;X;X;4;4
23;184;64497aa7f4d0ec03260d50917487bf7e0dad8631.jpg;X;1;8;4
24;29;34bd9ee3b020d9cd5297d6990784719bc68f2f2e.jpg;X;X;2;9
25;70;c1db6c89fb26a051f71726f7df032e43de6046bc.jpg;X;X;7;0
26;139;c1119af716de4f4954efb087092a49ee3b48be13.jpg;X;1;3;9
27;45;51bf596a3c477f7944dd6d1fa83da310da375dc0.jpg;X;X;4;5
28;129;165679858cfc4cd754e71a14d0381bc94a521cba.jpg;X;1;2;9
29;98;26f0a94f2cb7b8637e3f5339799d5f4ba1029024.jpg;X;X;9;8
30;191;4de40c9f2697c6f0ebc3be3a531bb5db9f64092f.jpg;X;1;9;1
31;56;852980ab54fe5cf1039940b0e6ac33a47172a12f.jpg;X;X;5;6
32;67;9f7011199d11492f06dd62fc02845952175a8741.jpg;X;X;6;7
33;95;3c823ec6e7a7405211c7d9281432a406929eff97.jpg;X;X;9;5
34;205;d795e6592de9c1c5187a86769b8c5d7444cbaefd.jpg;X;2;0;5
35;23;5efa991cf18e861feaedf77355a6de1a010cb79b.jpg;X;X;2;3
36;214;caed5ebb6fc271d447c2f286dab64583e64c3324.jpg;X;2;1;4
37;256;0a07d2cff5beb0580bca191427e8cd6e1a0eb678.jpg;X;2;5;6
38;166;45d7f253212cb2fbb401aa6193d8b8e4e4420854.jpg;X;1;6;6
39;45;b9459761282e4785af2ece0ad86a9fcd05047bfd.jpg;X;X;4;5
40;242;04dc6be4599a36518fcb26bf9355508d57ce6887.jpg;X;2;4;2
41;191;e6bf1df203b043c813d09f9db881595406920725.jpg;X;1;9;1
42;79;e47f55e29fb263bcdda378a8fc9fcc14cb532653.jpg;X;X;7;9
43;52;16059ed087ceb8a0d664934a78c414349bf9ac93.jpg;X;X;5;2
44;42;86aefd62c2e164037a5fdfa2feda74801a5da14c.jpg;X;X;4;2
45;43;ae7c13f09ce55a6ebb4eab0819b5340f960e89f1.jpg;X;X;4;3
46;233;a7587241454eeec7fa380250102423a7ff64c22b.jpg;X;2;3;3
47;50;647517ae17cb333fe4187bdaec6db1e919c52896.jpg;X;X;5;0
48;66;6e698f0b367607f0fa89763a2f1c3e11c42096ad.jpg;X;X;6;6
