;used_liter;image;cadran_1;cadran_2;cadran_3;cadran_4
0;89;0d2f85e9ce05fc8ae303cb62d5f12284605eebe9.jpg;X;X;8;9
1;37;1bf8c36dccf57c8468c901a2ac8a61d02adde532.jpg;X;X;3;7
2;71;0395d739d2656362dbdef06b71f53262847d88ff.jpg;X;X;7;1
3;59;019d0c88f67f8e7581a6ae114e444f8970eeb8d7.jpg;X;X;5;9
4;50;0e0ba9a684a23b35cb0e0fc05151de9c7a39ce25.jpg;X;X;5;0
5;120;0dab1f835848e158d936e5ba5f51a03e0c8cd7d4.jpg;X;1;2;0
6;57;18a8632fad827b725b0cc1f690ac1b8c9531c0ff.jpg;X;X;5;7
7;52;1e5618b290bc88a355be155cfe4eebdafcd91dcd.jpg;X;X;5;2
8;53;0c7b9c85ff3f59d5bb76196258628a785067cb42.jpg;X;X;5;3
9;110;0a008e3b1506c52ff8607087181d5a0d492f5382.jpg;X;1;1;0
10;485;0340e19a70a7463e1ca38311c8d4016483750147.jpg;X;4;8;5
11;52;0ad51a9afc621e120a3bfdbb27df7c9937971b52.jpg;X;X;5;2
12;48;1e93c99c6f4c982eac591034effe036dc2df3a85.jpg;X;X;4;8
13;234;14d22e2e8e842c278f502d92e51e3784a8eb6b98.jpg;X;2;3;4
14;131;1bcf5b808ca2209e592b4349e529e5183824ae8c.jpg;X;1;3;1
15;80;046dcb802ff257b9cb02d6f337a83529e302ba15.jpg;X;X;8;0
16;54;12bfd2c97e0cf7d9ea983a5f958a039fb7bb7c58.jpg;X;X;5;4
17;29;0101a3341e8c550b7e096b2d947b21bf336715bb.jpg;X;X;2;9
18;464;20b248ff8afd1d8c2058eb23d99a0bb16c9c28d9.jpg;X;4;6;4
19;45;1f4450408639279059c3ad808a0e37f03d0fa14b.jpg;X;X;4;5
20;63;0c2661180b01ccf09153e3c59ff491c1b6069a39.jpg;X;X;6;3
21;147;15ce5b2610624fe256263f0522dbead4564ebcdb.jpg;X;1;4;7
22;40;1648748cb2c9512a825e34359a3823a13352f28f.jpg;X;X;4;0
23;46;0b2ec6a6fa1ec2e33606313e7f741f3b4aee7ced.jpg;X;X;4;6
24;106;1d5d26cd7bba9e89e378d60ffe76a0a681812f57.jpg;X;1;0;6
25;35;1b88e1933d695cbe49d3f793081a947adf7c05db.jpg;X;X;3;5
26;51;09b2ee855ac02280e3f8fce3f7385516258d7782.jpg;X;X;5;1
27;46;0ab5f86e4d729d232d185a664b77b2b049d9b79e.jpg;X;X;4;6
28;62;05aa08310f4ed9c7eff0ecd40e35feabb392dbe7.jpg;X;X;6;2
29;58;003552c62aacc898154ff3e6458b4d37d93a19a8.jpg;X;X;5;8
30;72;1f9cb14da2c251670de5089323a62df7104510c4.jpg;X;X;7;2
31;506;12490ba769f962153327614f3a493be37053c78e.jpg;X;5;0;6
32;66;0dfc66d0b9f1210f2645725c67e2fcf7b49dfd3d.jpg;X;X;6;6
33;66;177ed0a8ab49a1abff501f7c3e6bdd23c3e526a3.jpg;X;X;6;6
34;172;0b10bbdc8da66f705ae2a62c72fcb6a88bd2a79d.jpg;X;1;7;2
35;195;06f3809cf626ddc0753e11c7734516399c1aae07.jpg;X;1;9;5
